Trade_Time,Price_USD,Volume_BTC,Symbol
2025-10-08 18:07:51.333,123836.9,0.002,BTCUSDT
2025-10-08 18:07:51.333,123836.6,0.002,BTCUSDT
2025-10-08 18:07:51.333,123836.4,0.019,BTCUSDT
2025-10-08 18:07:51.333,123836.2,0.002,BTCUSDT
2025-10-08 18:07:51.333,123836.2,0.002,BTCUSDT
2025-10-08 18:07:51.333,123836.2,0.013,BTCUSDT
2025-10-08 18:07:51.333,123836.1,0.001,BTCUSDT
2025-10-08 18:07:51.333,123835.9,0.001,BTCUSDT
2025-10-08 18:07:51.333,123835.9,0.002,BTCUSDT
2025-10-08 18:07:51.333,123835.8,0.002,BTCUSDT
2025-10-08 18:07:51.333,123835.7,0.002,BTCUSDT
2025-10-08 18:07:51.333,123835.5,0.002,BTCUSDT
2025-10-08 18:07:51.333,123835.4,0.001,BTCUSDT
2025-10-08 18:07:51.334,123835.3,0.001,BTCUSDT
2025-10-08 18:07:51.334,123835.0,0.002,BTCUSDT
2025-10-08 18:07:51.334,123835.0,0.003,BTCUSDT
2025-10-08 18:07:51.334,123834.9,0.007,BTCUSDT
2025-10-08 18:07:51.334,123834.8,0.002,BTCUSDT
2025-10-08 18:07:51.334,123834.8,0.005,BTCUSDT
2025-10-08 18:07:51.334,123834.6,0.002,BTCUSDT
2025-10-08 18:07:51.334,123834.2,0.004,BTCUSDT
2025-10-08 18:07:51.334,123834.2,0.012,BTCUSDT
2025-10-08 18:07:51.334,123834.1,0.001,BTCUSDT
2025-10-08 18:07:51.334,123834.1,0.002,BTCUSDT
2025-10-08 18:07:51.334,123834.0,0.002,BTCUSDT
2025-10-08 18:07:51.334,123834.0,0.212,BTCUSDT
2025-10-08 18:07:51.336,123834.0,0.098,BTCUSDT
2025-10-08 18:07:51.337,123833.8,0.001,BTCUSDT
2025-10-08 18:07:51.337,123833.8,0.001,BTCUSDT
2025-10-08 18:07:51.337,123833.5,0.002,BTCUSDT
2025-10-08 18:07:51.337,123833.5,0.032,BTCUSDT
2025-10-08 18:07:51.337,123833.4,0.002,BTCUSDT
2025-10-08 18:07:51.337,123833.4,0.403,BTCUSDT
2025-10-08 18:07:51.337,123833.3,0.002,BTCUSDT
2025-10-08 18:07:51.337,123833.3,0.411,BTCUSDT
2025-10-08 18:07:51.339,123833.2,0.002,BTCUSDT
2025-10-08 18:07:51.339,123833.1,0.001,BTCUSDT
2025-10-08 18:07:51.339,123833.0,0.18,BTCUSDT
2025-10-08 18:07:51.339,123833.0,0.008,BTCUSDT
2025-10-08 18:07:51.339,123832.7,0.002,BTCUSDT
2025-10-08 18:07:51.339,123832.6,0.08,BTCUSDT
2025-10-08 18:07:51.339,123832.5,0.002,BTCUSDT
2025-10-08 18:07:51.339,123832.4,0.001,BTCUSDT
2025-10-08 18:07:51.339,123832.2,0.003,BTCUSDT
2025-10-08 18:07:51.339,123832.0,0.002,BTCUSDT
2025-10-08 18:07:51.339,123831.9,0.073,BTCUSDT
2025-10-08 18:07:51.339,123831.8,0.001,BTCUSDT
2025-10-08 18:07:51.340,123831.6,0.001,BTCUSDT
2025-10-08 18:07:51.340,123831.6,0.04,BTCUSDT
2025-10-08 18:07:51.340,123831.6,0.016,BTCUSDT
2025-10-08 18:07:51.340,123831.6,0.008,BTCUSDT
2025-10-08 18:07:51.340,123831.5,0.001,BTCUSDT
2025-10-08 18:07:51.340,123831.4,0.001,BTCUSDT
2025-10-08 18:07:51.340,123831.3,0.002,BTCUSDT
2025-10-08 18:07:51.340,123831.3,0.002,BTCUSDT
2025-10-08 18:07:51.340,123831.3,0.003,BTCUSDT
2025-10-08 18:07:51.345,123830.8,0.001,BTCUSDT
2025-10-08 18:07:51.345,123830.8,0.001,BTCUSDT
2025-10-08 18:07:51.345,123830.8,0.001,BTCUSDT
2025-10-08 18:07:51.345,123830.8,0.001,BTCUSDT
2025-10-08 18:07:51.345,123830.8,0.001,BTCUSDT
2025-10-08 18:07:51.345,123830.8,0.001,BTCUSDT
2025-10-08 18:07:51.353,123830.7,0.002,BTCUSDT
2025-10-08 18:07:51.353,123830.7,0.053,BTCUSDT
2025-10-08 18:07:51.356,123830.7,0.043,BTCUSDT
2025-10-08 18:07:51.358,123830.7,0.091,BTCUSDT
2025-10-08 18:07:51.358,123830.7,0.07,BTCUSDT
2025-10-08 18:07:51.359,123830.7,0.047,BTCUSDT
2025-10-08 18:07:51.363,123830.7,0.034,BTCUSDT
2025-10-08 18:07:51.363,123830.7,0.041,BTCUSDT
2025-10-08 18:07:51.365,123830.7,0.038,BTCUSDT
2025-10-08 18:07:51.365,123830.7,0.026,BTCUSDT
2025-10-08 18:07:51.368,123830.7,0.04,BTCUSDT
2025-10-08 18:07:51.377,123830.7,0.051,BTCUSDT
2025-10-08 18:07:51.379,123830.7,0.126,BTCUSDT
2025-10-08 18:07:51.380,123830.7,0.244,BTCUSDT
2025-10-08 18:07:51.382,123830.7,0.003,BTCUSDT
2025-10-08 18:07:51.382,123830.7,0.001,BTCUSDT
2025-10-08 18:07:51.382,123830.7,0.001,BTCUSDT
2025-10-08 18:07:51.382,123830.7,0.001,BTCUSDT
2025-10-08 18:07:51.382,123830.7,0.001,BTCUSDT
2025-10-08 18:07:51.382,123830.7,0.001,BTCUSDT
2025-10-08 18:07:51.382,123830.7,0.001,BTCUSDT
2025-10-08 18:07:51.382,123830.7,0.001,BTCUSDT
2025-10-08 18:07:51.382,123830.7,0.001,BTCUSDT
2025-10-08 18:07:51.382,123830.7,0.001,BTCUSDT
2025-10-08 18:07:51.382,123830.6,0.002,BTCUSDT
2025-10-08 18:07:51.382,123830.6,0.002,BTCUSDT
2025-10-08 18:07:51.382,123830.6,0.001,BTCUSDT
2025-10-08 18:07:51.384,123830.0,0.001,BTCUSDT
2025-10-08 18:07:51.384,123830.0,0.001,BTCUSDT
2025-10-08 18:07:51.384,123830.0,0.002,BTCUSDT
2025-10-08 18:07:51.384,123829.9,0.002,BTCUSDT
2025-10-08 18:07:51.384,123829.8,0.001,BTCUSDT
2025-10-08 18:07:51.384,123829.6,0.032,BTCUSDT
2025-10-08 18:07:51.385,123829.5,0.005,BTCUSDT
2025-10-08 18:07:51.385,123829.3,0.002,BTCUSDT
2025-10-08 18:07:51.385,123829.2,0.002,BTCUSDT
2025-10-08 18:07:51.385,123829.2,0.08,BTCUSDT
2025-10-08 18:07:51.391,123829.2,0.028,BTCUSDT
2025-10-08 18:07:51.392,123829.2,0.009,BTCUSDT
2025-10-08 18:07:51.392,123829.2,0.031,BTCUSDT
2025-10-08 18:07:51.392,123829.2,0.423,BTCUSDT
2025-10-08 18:07:51.394,123829.2,0.052,BTCUSDT
2025-10-08 18:07:51.402,123829.2,0.112,BTCUSDT
2025-10-08 18:07:51.403,123829.2,0.065,BTCUSDT
2025-10-08 18:07:51.403,123829.2,0.001,BTCUSDT
2025-10-08 18:07:51.403,123829.2,0.001,BTCUSDT
2025-10-08 18:07:51.403,123829.2,0.001,BTCUSDT
2025-10-08 18:07:51.403,123829.2,0.001,BTCUSDT
2025-10-08 18:07:51.403,123829.2,0.001,BTCUSDT
2025-10-08 18:07:51.403,123829.2,0.001,BTCUSDT
2025-10-08 18:07:51.403,123829.2,0.001,BTCUSDT
2025-10-08 18:07:51.403,123829.2,0.001,BTCUSDT
2025-10-08 18:07:51.403,123828.8,0.182,BTCUSDT
2025-10-08 18:07:51.406,123828.8,0.758,BTCUSDT
2025-10-08 18:07:51.406,123828.7,0.002,BTCUSDT
2025-10-08 18:07:51.406,123828.6,0.001,BTCUSDT
2025-10-08 18:07:51.406,123828.5,0.002,BTCUSDT
2025-10-08 18:07:51.406,123828.2,0.001,BTCUSDT
2025-10-08 18:07:51.406,123828.1,0.002,BTCUSDT
2025-10-08 18:07:51.406,123827.9,0.001,BTCUSDT
2025-10-08 18:07:51.406,123827.8,0.002,BTCUSDT
2025-10-08 18:07:51.406,123827.8,0.002,BTCUSDT
2025-10-08 18:07:51.406,123827.8,0.006,BTCUSDT
2025-10-08 18:07:51.422,123827.8,0.026,BTCUSDT
2025-10-08 18:07:51.422,123827.8,0.001,BTCUSDT
2025-10-08 18:07:51.422,123827.8,0.001,BTCUSDT
2025-10-08 18:07:51.422,123827.4,0.001,BTCUSDT
2025-10-08 18:07:51.422,123827.2,0.003,BTCUSDT
2025-10-08 18:07:51.422,123827.1,0.002,BTCUSDT
2025-10-08 18:07:51.422,123827.0,0.006,BTCUSDT
2025-10-08 18:07:51.422,123827.0,0.006,BTCUSDT
2025-10-08 18:07:51.422,123827.0,0.006,BTCUSDT
2025-10-08 18:07:51.422,123827.0,0.006,BTCUSDT
2025-10-08 18:07:51.422,123827.0,0.006,BTCUSDT
2025-10-08 18:07:51.422,123827.0,0.006,BTCUSDT
2025-10-08 18:07:51.422,123827.0,0.006,BTCUSDT
2025-10-08 18:07:51.422,123827.0,0.006,BTCUSDT
2025-10-08 18:07:51.422,123827.0,0.006,BTCUSDT
2025-10-08 18:07:51.422,123827.0,0.006,BTCUSDT
2025-10-08 18:07:51.422,123827.0,0.006,BTCUSDT
2025-10-08 18:07:51.422,123827.0,0.006,BTCUSDT
2025-10-08 18:07:51.422,123827.0,0.006,BTCUSDT
2025-10-08 18:07:51.422,123827.0,0.006,BTCUSDT
2025-10-08 18:07:51.422,123827.0,0.006,BTCUSDT
2025-10-08 18:07:51.422,123827.0,0.006,BTCUSDT
2025-10-08 18:07:51.422,123826.8,0.001,BTCUSDT
2025-10-08 18:07:51.422,123826.8,0.001,BTCUSDT
2025-10-08 18:07:51.422,123826.7,0.03,BTCUSDT
2025-10-08 18:07:51.422,123826.6,0.002,BTCUSDT
2025-10-08 18:07:51.422,123826.5,0.002,BTCUSDT
2025-10-08 18:07:51.422,123826.4,0.002,BTCUSDT
2025-10-08 18:07:51.422,123826.4,0.002,BTCUSDT
2025-10-08 18:07:51.422,123826.2,0.295,BTCUSDT
2025-10-08 18:07:51.462,123826.1,0.001,BTCUSDT
2025-10-08 18:07:51.481,123826.1,0.004,BTCUSDT
2025-10-08 18:07:51.481,123826.1,0.001,BTCUSDT
2025-10-08 18:07:51.481,123826.1,0.001,BTCUSDT
2025-10-08 18:07:51.481,123826.1,0.001,BTCUSDT
2025-10-08 18:07:51.481,123826.1,0.001,BTCUSDT
2025-10-08 18:07:51.481,123826.1,0.001,BTCUSDT
2025-10-08 18:07:51.481,123826.1,0.001,BTCUSDT
2025-10-08 18:07:51.481,123826.1,0.001,BTCUSDT
2025-10-08 18:07:51.481,123826.1,0.001,BTCUSDT
2025-10-08 18:07:51.481,123826.1,0.001,BTCUSDT
2025-10-08 18:07:51.481,123826.1,0.001,BTCUSDT
2025-10-08 18:07:51.481,123826.1,0.001,BTCUSDT
2025-10-08 18:07:51.481,123826.1,0.001,BTCUSDT
2025-10-08 18:07:51.481,123826.1,0.001,BTCUSDT
2025-10-08 18:07:51.481,123826.1,0.001,BTCUSDT
2025-10-08 18:07:51.481,123826.1,0.001,BTCUSDT
2025-10-08 18:07:51.481,123826.0,0.002,BTCUSDT
2025-10-08 18:07:51.481,123826.0,0.001,BTCUSDT
2025-10-08 18:07:51.481,123825.7,0.002,BTCUSDT
2025-10-08 18:07:51.481,123825.3,0.002,BTCUSDT
2025-10-08 18:07:51.481,123825.0,0.002,BTCUSDT
2025-10-08 18:07:51.481,123825.0,0.002,BTCUSDT
2025-10-08 18:07:51.481,123824.6,0.002,BTCUSDT
2025-10-08 18:07:51.481,123824.3,0.002,BTCUSDT
2025-10-08 18:07:51.481,123824.2,0.001,BTCUSDT
2025-10-08 18:07:51.481,123824.1,0.029,BTCUSDT
2025-10-08 18:07:51.481,123823.9,0.002,BTCUSDT
2025-10-08 18:07:51.481,123823.9,0.001,BTCUSDT
2025-10-08 18:07:51.481,123823.6,0.002,BTCUSDT
2025-10-08 18:07:51.481,123823.6,0.008,BTCUSDT
2025-10-08 18:07:51.481,123823.5,0.001,BTCUSDT
2025-10-08 18:07:51.481,123823.5,0.02,BTCUSDT
2025-10-08 18:07:51.481,123823.5,0.005,BTCUSDT
2025-10-08 18:07:51.481,123823.2,0.04,BTCUSDT
2025-10-08 18:07:51.549,123824.1,0.001,BTCUSDT
2025-10-08 18:07:51.549,123824.1,0.001,BTCUSDT
2025-10-08 18:07:51.549,123824.1,0.001,BTCUSDT
2025-10-08 18:07:51.549,123824.1,0.001,BTCUSDT
2025-10-08 18:07:51.549,123824.1,0.001,BTCUSDT
2025-10-08 18:07:51.549,123824.2,0.004,BTCUSDT
2025-10-08 18:07:51.603,123824.1,0.001,BTCUSDT
2025-10-08 18:07:51.603,123824.1,0.001,BTCUSDT
2025-10-08 18:07:51.603,123824.1,0.001,BTCUSDT
2025-10-08 18:07:51.603,123824.1,0.001,BTCUSDT
2025-10-08 18:07:51.603,123824.1,0.001,BTCUSDT
2025-10-08 18:07:51.603,123824.1,0.001,BTCUSDT
2025-10-08 18:07:51.603,123824.1,0.001,BTCUSDT
2025-10-08 18:07:51.603,123824.1,0.001,BTCUSDT
2025-10-08 18:07:51.603,123824.1,0.192,BTCUSDT
2025-10-08 18:07:51.614,123824.1,0.023,BTCUSDT
2025-10-08 18:07:51.736,123824.2,0.001,BTCUSDT
2025-10-08 18:07:51.833,123824.1,0.002,BTCUSDT
2025-10-08 18:07:51.833,123824.1,0.001,BTCUSDT
2025-10-08 18:07:51.833,123824.1,0.004,BTCUSDT
2025-10-08 18:07:51.833,123824.1,0.003,BTCUSDT
2025-10-08 18:07:51.838,123824.1,0.001,BTCUSDT
2025-10-08 18:07:51.838,123824.1,0.003,BTCUSDT
2025-10-08 18:07:51.839,123824.1,0.001,BTCUSDT
2025-10-08 18:07:51.839,123824.1,0.001,BTCUSDT
2025-10-08 18:07:51.839,123824.1,0.001,BTCUSDT
2025-10-08 18:07:51.919,123824.2,0.002,BTCUSDT
2025-10-08 18:07:52.003,123824.2,0.001,BTCUSDT
2025-10-08 18:07:52.003,123824.2,0.001,BTCUSDT
2025-10-08 18:07:52.003,123824.2,0.001,BTCUSDT
2025-10-08 18:07:52.003,123824.2,0.001,BTCUSDT
2025-10-08 18:07:52.003,123824.2,0.001,BTCUSDT
2025-10-08 18:07:52.003,123824.2,0.001,BTCUSDT
2025-10-08 18:07:52.003,123824.2,0.001,BTCUSDT
2025-10-08 18:07:52.003,123824.2,0.001,BTCUSDT
2025-10-08 18:07:52.003,123824.2,0.001,BTCUSDT
2025-10-08 18:07:52.006,123824.2,0.001,BTCUSDT
2025-10-08 18:07:52.006,123824.2,0.001,BTCUSDT
2025-10-08 18:07:52.006,123824.2,0.005,BTCUSDT
2025-10-08 18:07:52.006,123824.2,0.001,BTCUSDT
2025-10-08 18:07:52.006,123824.2,0.097,BTCUSDT
2025-10-08 18:07:52.006,123824.2,0.001,BTCUSDT
2025-10-08 18:07:52.006,123824.2,0.001,BTCUSDT
2025-10-08 18:07:52.006,123824.2,0.001,BTCUSDT
2025-10-08 18:07:52.006,123824.2,0.005,BTCUSDT
2025-10-08 18:07:52.006,123824.2,0.011,BTCUSDT
2025-10-08 18:07:52.006,123824.2,0.009,BTCUSDT
2025-10-08 18:07:52.006,123824.2,0.005,BTCUSDT
2025-10-08 18:07:52.006,123824.2,0.597,BTCUSDT
2025-10-08 18:07:52.030,123824.1,0.001,BTCUSDT
2025-10-08 18:07:52.646,123824.2,0.001,BTCUSDT
2025-10-08 18:07:52.697,123824.2,0.018,BTCUSDT
2025-10-08 18:07:53.003,123824.2,0.001,BTCUSDT
2025-10-08 18:07:53.112,123824.1,0.001,BTCUSDT
2025-10-08 18:07:53.112,123824.1,0.003,BTCUSDT
2025-10-08 18:07:53.437,123824.1,0.001,BTCUSDT
2025-10-08 18:07:53.772,123824.1,0.004,BTCUSDT
2025-10-08 18:07:53.772,123824.1,0.004,BTCUSDT
2025-10-08 18:07:53.772,123824.1,0.004,BTCUSDT
2025-10-08 18:07:53.772,123824.1,0.004,BTCUSDT
2025-10-08 18:07:53.772,123824.1,0.004,BTCUSDT
2025-10-08 18:07:53.772,123824.1,0.004,BTCUSDT
2025-10-08 18:07:53.772,123824.1,0.004,BTCUSDT
2025-10-08 18:07:53.772,123824.1,0.001,BTCUSDT
2025-10-08 18:07:53.772,123824.1,0.053,BTCUSDT
2025-10-08 18:07:54.132,123824.1,0.017,BTCUSDT
2025-10-08 18:07:54.133,123824.1,0.015,BTCUSDT
2025-10-08 18:07:54.181,123824.1,0.008,BTCUSDT
2025-10-08 18:07:54.486,123824.1,0.04,BTCUSDT
2025-10-08 18:07:54.635,123824.2,0.001,BTCUSDT
2025-10-08 18:07:54.636,123824.2,0.037,BTCUSDT
2025-10-08 18:07:54.700,123824.1,0.001,BTCUSDT
2025-10-08 18:07:54.790,123824.1,0.113,BTCUSDT
2025-10-08 18:07:54.805,123824.1,0.001,BTCUSDT
2025-10-08 18:07:55.266,123824.1,0.106,BTCUSDT
2025-10-08 18:07:55.339,123824.1,0.002,BTCUSDT
